"subject","body","type","priority","snowflake_level","language"
"[TKT-00011] etl pipeline - returns 500 error","Das Team sales meldet, dass etl pipeline returns 500 error during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00011.","Problem","medium","BASIC","de"
"[TKT-00012] payment processor - shows stale data","Das Team security meldet, dass payment processor shows stale data after latest deploy. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00012.","Incident","medium","MEDIUM","de"
"[TKT-00013] payment processor - shows stale data","El equipo de finance reporta que payment processor shows stale data when uploading csv files. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00013.","Request","low","MEDIUM","es"
"[TKT-00014] billing service - shows stale data","Das Team finance meldet, dass billing service shows stale data after token refresh. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00014.","Problem","low","MEDIUM","de"
"[TKT-00015] auth service - misses scheduled tasks","Team product reports that auth service misses scheduled tasks after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00015.","Incident","high","MEDIUM","en"
"[TKT-00016] reporting job - rejects valid input","El equipo de analytics reporta que reporting job rejects valid input while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00016.","Incident","medium","PRO","es"
"[TKT-00017] notification worker - returns timeout","Team sales reports that notification worker returns timeout after token refresh. Please investigate and provide mitigation steps. Internal reference TKT-00017.","Request","high","PRO","en"
"[TKT-00018] payment processor - returns 500 error","El equipo de finance reporta que payment processor returns 500 error while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00018.","Problem","low","PRO","es"
"[TKT-00019] payment processor - has intermittent errors","Das Team analytics meldet, dass payment processor has intermittent errors after cache clear. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00019.","Incident","high","BASIC","de"
"[TKT-00020] notification worker - fails validation","Team product reports that notification worker fails validation after role changes. Please investigate and provide mitigation steps. Internal reference TKT-00020.","Request","high","BASIC","en"
"[TKT-00021] api gateway - drops connection","Das Team sales meldet, dass api gateway drops connection while generating monthly reports. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00021.","Incident","medium","MEDIUM","de"
"[TKT-00022] search index - returns 500 error","Team product reports that search index returns 500 error after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00022.","Incident","medium","PRO","en"
"[TKT-00023] etl pipeline - shows stale data","Team support reports that etl pipeline shows stale data during background sync. Please investigate and provide mitigation steps. Internal reference TKT-00023.","Request","high","MEDIUM","en"
"[TKT-00024] search index - drops connection","El equipo de security reporta que search index drops connection after role changes. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00024.","Request","low","BASIC","es"
"[TKT-00025] billing service - rejects valid input","El equipo de ops reporta que billing service rejects valid input when processing bulk updates. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00025.","Incident","medium","BASIC","es"
"[TKT-00026] billing service - returns timeout","Team analytics reports that billing service returns timeout when processing bulk updates. Please investigate and provide mitigation steps. Internal reference TKT-00026.","Problem","medium","PRO","en"
"[TKT-00027] notification worker - misses scheduled tasks","Das Team ops meldet, dass notification worker misses scheduled tasks when uploading csv files. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00027.","Problem","medium","PRO","de"
"[TKT-00028] auth service - misses scheduled tasks","Team hr reports that auth service misses scheduled tasks while generating monthly reports. Please investigate and provide mitigation steps. Internal reference TKT-00028.","Incident","medium","MEDIUM","en"
"[TKT-00029] search index - cannot export report","Team support reports that search index cannot export report after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00029.","Incident","low","BASIC","en"
"[TKT-00030] billing service - cannot export report","Das Team support meldet, dass billing service cannot export report during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00030.","Request","medium","BASIC","de"
"[TKT-00031] search index - misses scheduled tasks","Team support reports that search index misses scheduled tasks during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00031.","Request","high","PRO","en"
"[TKT-00032] api gateway - misses scheduled tasks","El equipo de hr reporta que api gateway misses scheduled tasks during peak traffic. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00032.","Problem","low","PRO","es"
"[TKT-00033] crm connector - returns 500 error","Team hr reports that crm connector returns 500 error after token refresh. Please investigate and provide mitigation steps. Internal reference TKT-00033.","Incident","low","BASIC","en"
"[TKT-00034] notification worker - fails validation","Team product reports that notification worker fails validation when uploading csv files. Please investigate and provide mitigation steps. Internal reference TKT-00034.","Request","low","BASIC","en"
"[TKT-00035] auth service - shows stale data","Team security reports that auth service shows stale data after token refresh. Please investigate and provide mitigation steps. Internal reference TKT-00035.","Incident","high","BASIC","en"
"[TKT-00036] auth service - drops connection","Team analytics reports that auth service drops connection when uploading csv files. Please investigate and provide mitigation steps. Internal reference TKT-00036.","Incident","medium","MEDIUM","en"
"[TKT-00037] etl pipeline - is slow under load","El equipo de security reporta que etl pipeline is slow under load after cache clear. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00037.","Request","high","PRO","es"
"[TKT-00038] crm connector - returns timeout","El equipo de analytics reporta que crm connector returns timeout during timezone conversion. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00038.","Request","medium","BASIC","es"
"[TKT-00039] payment processor - creates duplicate entries","Das Team sales meldet, dass payment processor creates duplicate entries after token refresh. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00039.","Problem","high","PRO","de"
"[TKT-00040] data sync - creates duplicate entries","Das Team ops meldet, dass data sync creates duplicate entries after role changes. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00040.","Request","medium","PRO","de"
"[TKT-00041] crm connector - breaks session state","El equipo de product reporta que crm connector breaks session state while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00041.","Incident","low","PRO","es"
"[TKT-00042] web dashboard - misses scheduled tasks","Team analytics reports that web dashboard misses scheduled tasks during peak traffic. Please investigate and provide mitigation steps. Internal reference TKT-00042.","Request","high","MEDIUM","en"
"[TKT-00043] crm connector - returns timeout","Team sales reports that crm connector returns timeout during background sync. Please investigate and provide mitigation steps. Internal reference TKT-00043.","Incident","medium","PRO","en"
"[TKT-00044] auth service - fails validation","Das Team security meldet, dass auth service fails validation after cache clear. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00044.","Request","medium","PRO","de"
"[TKT-00045] mobile app - is slow under load","Das Team hr meldet, dass mobile app is slow under load when processing bulk updates. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00045.","Problem","medium","MEDIUM","de"
"[TKT-00046] api gateway - fails validation","Team analytics reports that api gateway fails validation during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00046.","Problem","low","MEDIUM","en"
"[TKT-00047] billing service - returns 500 error","El equipo de sales reporta que billing service returns 500 error after token refresh. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00047.","Incident","medium","PRO","es"
"[TKT-00048] mobile app - returns 500 error","El equipo de sales reporta que mobile app returns 500 error after role changes. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00048.","Incident","low","MEDIUM","es"
"[TKT-00049] notification worker - cannot export report","Das Team security meldet, dass notification worker cannot export report during background sync. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00049.","Incident","high","BASIC","de"
"[TKT-00050] mobile app - misses scheduled tasks","Team product reports that mobile app misses scheduled tasks after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00050.","Request","high","PRO","en"
"[TKT-00051] data sync - cannot export report","El equipo de product reporta que data sync cannot export report after token refresh. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00051.","Request","high","PRO","es"
"[TKT-00052] billing service - has intermittent errors","Team support reports that billing service has intermittent errors after token refresh. Please investigate and provide mitigation steps. Internal reference TKT-00052.","Problem","medium","MEDIUM","en"
"[TKT-00053] web dashboard - returns 500 error","Team hr reports that web dashboard returns 500 error during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00053.","Problem","low","PRO","en"
"[TKT-00054] notification worker - fails validation","Team support reports that notification worker fails validation after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00054.","Incident","medium","MEDIUM","en"
"[TKT-00055] web dashboard - misses scheduled tasks","El equipo de security reporta que web dashboard misses scheduled tasks after role changes. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00055.","Request","medium","PRO","es"
"[TKT-00056] data sync - breaks session state","Das Team ops meldet, dass data sync breaks session state when processing bulk updates. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00056.","Request","high","BASIC","de"
"[TKT-00057] payment processor - has intermittent errors","El equipo de support reporta que payment processor has intermittent errors during background sync. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00057.","Incident","low","MEDIUM","es"
"[TKT-00058] billing service - rejects valid input","Team ops reports that billing service rejects valid input during background sync. Please investigate and provide mitigation steps. Internal reference TKT-00058.","Request","high","BASIC","en"
"[TKT-00059] payment processor - shows stale data","El equipo de support reporta que payment processor shows stale data during peak traffic. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00059.","Request","medium","BASIC","es"
"[TKT-00060] payment processor - returns 500 error","Team hr reports that payment processor returns 500 error when uploading csv files. Please investigate and provide mitigation steps. Internal reference TKT-00060.","Problem","high","PRO","en"
"[TKT-00061] web dashboard - cannot export report","El equipo de analytics reporta que web dashboard cannot export report when uploading csv files. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00061.","Incident","high","MEDIUM","es"
"[TKT-00062] web dashboard - rejects valid input","Team ops reports that web dashboard rejects valid input when processing bulk updates. Please investigate and provide mitigation steps. Internal reference TKT-00062.","Problem","high","PRO","en"
"[TKT-00063] search index - returns timeout","Team analytics reports that search index returns timeout during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00063.","Problem","high","PRO","en"
"[TKT-00064] web dashboard - creates duplicate entries","El equipo de finance reporta que web dashboard creates duplicate entries after role changes. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00064.","Incident","medium","BASIC","es"
"[TKT-00065] web dashboard - returns timeout","El equipo de sales reporta que web dashboard returns timeout after cache clear. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00065.","Problem","medium","BASIC","es"
"[TKT-00066] data sync - cannot export report","Das Team security meldet, dass data sync cannot export report after token refresh. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00066.","Incident","medium","MEDIUM","de"
"[TKT-00067] etl pipeline - is slow under load","El equipo de ops reporta que etl pipeline is slow under load during timezone conversion. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00067.","Request","medium","BASIC","es"
"[TKT-00068] reporting job - returns 500 error","Das Team ops meldet, dass reporting job returns 500 error during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00068.","Problem","low","BASIC","de"
"[TKT-00069] notification worker - drops connection","Das Team hr meldet, dass notification worker drops connection after latest deploy. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00069.","Request","high","BASIC","de"
"[TKT-00070] auth service - breaks session state","Team analytics reports that auth service breaks session state after role changes. Please investigate and provide mitigation steps. Internal reference TKT-00070.","Incident","low","BASIC","en"
"[TKT-00071] etl pipeline - creates duplicate entries","El equipo de analytics reporta que etl pipeline creates duplicate entries after role changes. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00071.","Incident","high","MEDIUM","es"
"[TKT-00072] reporting job - rejects valid input","Team analytics reports that reporting job rejects valid input during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00072.","Problem","low","MEDIUM","en"
"[TKT-00073] auth service - is slow under load","El equipo de analytics reporta que auth service is slow under load during background sync. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00073.","Request","medium","BASIC","es"
"[TKT-00074] search index - is slow under load","Das Team finance meldet, dass search index is slow under load while generating monthly reports. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00074.","Incident","high","PRO","de"
"[TKT-00075] search index - creates duplicate entries","Das Team security meldet, dass search index creates duplicate entries during background sync. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00075.","Incident","high","PRO","de"
"[TKT-00076] search index - drops connection","Das Team security meldet, dass search index drops connection during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00076.","Problem","low","MEDIUM","de"
"[TKT-00077] web dashboard - misses scheduled tasks","Das Team product meldet, dass web dashboard misses scheduled tasks after cache clear. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00077.","Incident","low","BASIC","de"
"[TKT-00078] mobile app - creates duplicate entries","Team sales reports that mobile app creates duplicate entries during background sync. Please investigate and provide mitigation steps. Internal reference TKT-00078.","Request","medium","PRO","en"
"[TKT-00079] billing service - misses scheduled tasks","El equipo de support reporta que billing service misses scheduled tasks during peak traffic. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00079.","Problem","high","BASIC","es"
"[TKT-00080] crm connector - returns 500 error","El equipo de analytics reporta que crm connector returns 500 error during background sync. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00080.","Incident","medium","BASIC","es"
"[TKT-00081] web dashboard - has intermittent errors","Das Team security meldet, dass web dashboard has intermittent errors while generating monthly reports. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00081.","Request","high","MEDIUM","de"
"[TKT-00082] web dashboard - cannot export report","Das Team support meldet, dass web dashboard cannot export report after latest deploy. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00082.","Incident","medium","BASIC","de"
"[TKT-00083] auth service - creates duplicate entries","Team sales reports that auth service creates duplicate entries during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00083.","Problem","high","MEDIUM","en"
"[TKT-00084] web dashboard - drops connection","El equipo de support reporta que web dashboard drops connection after latest deploy. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00084.","Problem","medium","PRO","es"
"[TKT-00085] search index - cannot export report","Das Team ops meldet, dass search index cannot export report after token refresh. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00085.","Request","low","BASIC","de"
"[TKT-00086] web dashboard - returns 500 error","Das Team sales meldet, dass web dashboard returns 500 error during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00086.","Request","medium","PRO","de"
"[TKT-00087] api gateway - shows stale data","Das Team product meldet, dass api gateway shows stale data during peak traffic. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00087.","Request","medium","BASIC","de"
"[TKT-00088] notification worker - returns 500 error","El equipo de ops reporta que notification worker returns 500 error while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00088.","Incident","medium","PRO","es"
"[TKT-00089] data sync - returns timeout","Das Team hr meldet, dass data sync returns timeout after latest deploy. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00089.","Problem","high","MEDIUM","de"
"[TKT-00090] reporting job - rejects valid input","Das Team analytics meldet, dass reporting job rejects valid input during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00090.","Request","high","PRO","de"
"[TKT-00091] etl pipeline - creates duplicate entries","El equipo de product reporta que etl pipeline creates duplicate entries after latest deploy. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00091.","Request","high","BASIC","es"
"[TKT-00092] reporting job - returns 500 error","Das Team product meldet, dass reporting job returns 500 error when processing bulk updates. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00092.","Incident","high","MEDIUM","de"
"[TKT-00093] web dashboard - drops connection","Team analytics reports that web dashboard drops connection after role changes. Please investigate and provide mitigation steps. Internal reference TKT-00093.","Request","low","PRO","en"
"[TKT-00094] payment processor - has intermittent errors","Das Team finance meldet, dass payment processor has intermittent errors after latest deploy. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00094.","Request","high","BASIC","de"
"[TKT-00095] mobile app - drops connection","Team security reports that mobile app drops connection during background sync. Please investigate and provide mitigation steps. Internal reference TKT-00095.","Request","medium","BASIC","en"
"[TKT-00096] payment processor - misses scheduled tasks","Team finance reports that payment processor misses scheduled tasks when processing bulk updates. Please investigate and provide mitigation steps. Internal reference TKT-00096.","Problem","high","PRO","en"
"[TKT-00097] billing service - fails validation","Team sales reports that billing service fails validation after token refresh. Please investigate and provide mitigation steps. Internal reference TKT-00097.","Incident","high","MEDIUM","en"
"[TKT-00098] auth service - creates duplicate entries","El equipo de sales reporta que auth service creates duplicate entries during peak traffic. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00098.","Incident","medium","BASIC","es"
"[TKT-00099] crm connector - has intermittent errors","Team sales reports that crm connector has intermittent errors after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00099.","Problem","medium","MEDIUM","en"
"[TKT-00100] etl pipeline - rejects valid input","El equipo de finance reporta que etl pipeline rejects valid input after cache clear. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00100.","Problem","medium","MEDIUM","es"
"[TKT-00101] crm connector - creates duplicate entries","Team hr reports that crm connector creates duplicate entries when processing bulk updates. Please investigate and provide mitigation steps. Internal reference TKT-00101.","Problem","low","MEDIUM","en"
"[TKT-00102] api gateway - misses scheduled tasks","El equipo de support reporta que api gateway misses scheduled tasks after role changes. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00102.","Problem","medium","MEDIUM","es"
"[TKT-00103] notification worker - creates duplicate entries","Team finance reports that notification worker creates duplicate entries during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00103.","Request","low","BASIC","en"
"[TKT-00104] data sync - has intermittent errors","Team finance reports that data sync has intermittent errors after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00104.","Incident","low","MEDIUM","en"
"[TKT-00105] payment processor - has intermittent errors","Team hr reports that payment processor has intermittent errors while generating monthly reports. Please investigate and provide mitigation steps. Internal reference TKT-00105.","Request","medium","PRO","en"
"[TKT-00106] etl pipeline - rejects valid input","El equipo de ops reporta que etl pipeline rejects valid input when processing bulk updates. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00106.","Request","high","BASIC","es"
"[TKT-00107] etl pipeline - returns 500 error","Team analytics reports that etl pipeline returns 500 error during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00107.","Request","low","BASIC","en"
"[TKT-00108] web dashboard - breaks session state","El equipo de support reporta que web dashboard breaks session state while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00108.","Problem","medium","MEDIUM","es"
"[TKT-00109] search index - fails validation","El equipo de finance reporta que search index fails validation during timezone conversion. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00109.","Problem","high","PRO","es"
"[TKT-00110] search index - drops connection","El equipo de support reporta que search index drops connection when processing bulk updates. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00110.","Incident","medium","MEDIUM","es"
"[TKT-00111] mobile app - breaks session state","El equipo de analytics reporta que mobile app breaks session state while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00111.","Incident","medium","PRO","es"
"[TKT-00112] etl pipeline - returns timeout","Team security reports that etl pipeline returns timeout after cache clear. Please investigate and provide mitigation steps. Internal reference TKT-00112.","Incident","low","PRO","en"
"[TKT-00113] billing service - has intermittent errors","Das Team ops meldet, dass billing service has intermittent errors after role changes. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00113.","Problem","medium","BASIC","de"
"[TKT-00114] notification worker - breaks session state","El equipo de finance reporta que notification worker breaks session state after role changes. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00114.","Incident","high","MEDIUM","es"
"[TKT-00115] mobile app - has intermittent errors","Das Team sales meldet, dass mobile app has intermittent errors when processing bulk updates. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00115.","Problem","medium","BASIC","de"
"[TKT-00116] data sync - shows stale data","Das Team sales meldet, dass data sync shows stale data during peak traffic. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00116.","Problem","high","MEDIUM","de"
"[TKT-00117] payment processor - misses scheduled tasks","El equipo de analytics reporta que payment processor misses scheduled tasks when uploading csv files. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00117.","Problem","high","BASIC","es"
"[TKT-00118] search index - rejects valid input","Team sales reports that search index rejects valid input after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00118.","Incident","medium","MEDIUM","en"
"[TKT-00119] etl pipeline - rejects valid input","Team sales reports that etl pipeline rejects valid input while generating monthly reports. Please investigate and provide mitigation steps. Internal reference TKT-00119.","Request","high","MEDIUM","en"
"[TKT-00120] billing service - rejects valid input","El equipo de finance reporta que billing service rejects valid input during background sync. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00120.","Incident","high","MEDIUM","es"
"[TKT-00121] auth service - fails validation","Das Team finance meldet, dass auth service fails validation when processing bulk updates. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00121.","Request","medium","BASIC","de"
"[TKT-00122] notification worker - fails validation","Das Team security meldet, dass notification worker fails validation after cache clear. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00122.","Incident","high","PRO","de"
"[TKT-00123] notification worker - returns timeout","Team ops reports that notification worker returns timeout during peak traffic. Please investigate and provide mitigation steps. Internal reference TKT-00123.","Request","medium","MEDIUM","en"
"[TKT-00124] reporting job - rejects valid input","Team finance reports that reporting job rejects valid input after latest deploy. Please investigate and provide mitigation steps. Internal reference TKT-00124.","Request","high","MEDIUM","en"
"[TKT-00125] crm connector - is slow under load","El equipo de sales reporta que crm connector is slow under load after token refresh. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00125.","Request","low","MEDIUM","es"
"[TKT-00126] search index - has intermittent errors","Team ops reports that search index has intermittent errors when processing bulk updates. Please investigate and provide mitigation steps. Internal reference TKT-00126.","Incident","low","MEDIUM","en"
"[TKT-00127] data sync - is slow under load","El equipo de ops reporta que data sync is slow under load while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00127.","Incident","medium","BASIC","es"
"[TKT-00128] notification worker - rejects valid input","Team sales reports that notification worker rejects valid input during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00128.","Problem","low","MEDIUM","en"
"[TKT-00129] api gateway - is slow under load","Das Team sales meldet, dass api gateway is slow under load after token refresh. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00129.","Request","medium","PRO","de"
"[TKT-00130] search index - cannot export report","Das Team hr meldet, dass search index cannot export report when uploading csv files. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00130.","Incident","medium","BASIC","de"
"[TKT-00131] mobile app - is slow under load","Das Team finance meldet, dass mobile app is slow under load while generating monthly reports. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00131.","Request","medium","MEDIUM","de"
"[TKT-00132] mobile app - is slow under load","El equipo de product reporta que mobile app is slow under load during peak traffic. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00132.","Problem","medium","PRO","es"
"[TKT-00133] notification worker - shows stale data","Team analytics reports that notification worker shows stale data while generating monthly reports. Please investigate and provide mitigation steps. Internal reference TKT-00133.","Incident","medium","BASIC","en"
"[TKT-00134] mobile app - shows stale data","El equipo de hr reporta que mobile app shows stale data after token refresh. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00134.","Request","high","PRO","es"
"[TKT-00135] auth service - is slow under load","Team hr reports that auth service is slow under load when uploading csv files. Please investigate and provide mitigation steps. Internal reference TKT-00135.","Request","medium","MEDIUM","en"
"[TKT-00136] api gateway - rejects valid input","Team sales reports that api gateway rejects valid input when uploading csv files. Please investigate and provide mitigation steps. Internal reference TKT-00136.","Incident","low","MEDIUM","en"
"[TKT-00137] data sync - rejects valid input","El equipo de sales reporta que data sync rejects valid input after latest deploy. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00137.","Problem","medium","BASIC","es"
"[TKT-00138] data sync - drops connection","Das Team product meldet, dass data sync drops connection during background sync. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00138.","Request","high","PRO","de"
"[TKT-00139] search index - has intermittent errors","Das Team hr meldet, dass search index has intermittent errors during background sync. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00139.","Problem","low","MEDIUM","de"
"[TKT-00140] auth service - breaks session state","Das Team support meldet, dass auth service breaks session state after role changes. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00140.","Request","low","BASIC","de"
"[TKT-00141] search index - cannot export report","Das Team finance meldet, dass search index cannot export report while generating monthly reports. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00141.","Incident","high","PRO","de"
"[TKT-00142] payment processor - drops connection","Team sales reports that payment processor drops connection after cache clear. Please investigate and provide mitigation steps. Internal reference TKT-00142.","Problem","high","MEDIUM","en"
"[TKT-00143] etl pipeline - has intermittent errors","Das Team finance meldet, dass etl pipeline has intermittent errors during peak traffic. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00143.","Incident","medium","BASIC","de"
"[TKT-00144] billing service - drops connection","El equipo de security reporta que billing service drops connection during peak traffic. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00144.","Request","high","BASIC","es"
"[TKT-00145] reporting job - shows stale data","Team analytics reports that reporting job shows stale data during timezone conversion. Please investigate and provide mitigation steps. Internal reference TKT-00145.","Incident","medium","BASIC","en"
"[TKT-00146] api gateway - cannot export report","Das Team ops meldet, dass api gateway cannot export report during timezone conversion. Bitte pruefen und eine Loesung vorschlagen. Interne Referenz TKT-00146.","Request","medium","PRO","de"
"[TKT-00147] etl pipeline - returns timeout","El equipo de product reporta que etl pipeline returns timeout after latest deploy. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00147.","Request","medium","MEDIUM","es"
"[TKT-00148] auth service - is slow under load","El equipo de product reporta que auth service is slow under load while generating monthly reports. Necesitamos revision y plan de mitigacion. Referencia interna TKT-00148.","Problem","medium","PRO","es"
